Samples,Days,Average D/H,Std Dev D/H,Rel Std Dev D/H,Average D2O%,Std Dev D2O%,Rel Std Dev D2O%,Average minutes left out,Std Dev minutes left out
BlaJ-0165_D4_treatment,4,0.0003101917903842466,6.351482106225247e-07,0.20475983901306416,4.633667472543469,0.017738337871971297,0.3828142174007695,1223.0277777777776,495.3278685020809
YF_2/3_D2_E4-1,2,0.00031148204741129247,2.1497566708586994e-06,0.6901703288279986,4.6697016055295215,0.06003812894763579,1.2856951903852487,840.4222222222221,734.2466237832061
BlaJ-0175_D8_treatment,8,0.0003058593336564402,1.3911709536551661e-06,0.45484011784901546,4.512671175981128,0.03885244420262295,0.8609633338546054,1448.7166666666665,1346.7843511903127
YF_2/3_D16_E3-1,16,0.0003362621687631368,2.985111097526727e-06,0.8877332554258996,5.361757660629853,0.08336780037749128,1.5548595377527368,1115.0166666666667,406.8176458125243
YF_2/3_D4_E4-1,4,0.00033924967163278266,2.1021394874227617e-06,0.6196437795518933,5.4451922581127326,0.05870828234778384,1.0781672999757723,1325.3111111111111,350.2261477060743
YF_2/3_D8_E4-1,8,0.00034718331582296965,2.387982889461091e-06,0.6878161422591904,5.6667620568587695,0.06669128026705716,1.1768851347188174,786.3444444444444,630.0344305700313
BlaJ-0163_D16_treatment,16,0.00027128248036838756,1.5929916271089838e-06,0.5872077050260612,3.5470132462013897,0.04448886612021568,1.2542627566406817,1131.0833333333333,1238.4679918933894
BlaJ-0140_D0_saline,0,0.00014514302821311343,5.002408455689858e-07,0.3446537196636703,0.024206783246002003,0.013970662260649504,57.71383218774804,1411.6277777777777,1084.4919944037974
BlaJ-0181_D8_saline,8,0.0003039502181188313,1.5650515971590416e-05,5.149039230322824,4.459353641779867,0.43708560542531283,9.801546155259809,1611.1999999999998,291.79846974315075
BlaJ-0145_D0_treatment,0,0.00014213086535078213,2.1109288413907887e-06,1.4852008648374648,-0.05991651535396936,0.05895375029960024,-98.39315579572447,1556.6444444444444,1377.2766913503754
BlaJ-0142_D0_treatment,0,0.00014345072241543245,3.4340481145554364e-07,0.23938869437063223,-0.02305571630908407,0.00959056558860268,-41.59734384320103,996.5555555555555,806.9944499900944
YF_2/3_D16_E4-1,16,0.0003333067196855013,5.779946085469814e-06,1.734122279599885,5.279218257344561,0.1614215939384466,3.0576798698154493,1691.5055555555555,842.0378429628217
YM_2/3_D1_E3-1,1,0.00029039974832764946,2.4863703736785086e-06,0.8561888872139138,4.080917857092172,0.06943903332411275,1.7015543011588825,2084.4055555555556,1105.9679056943405
YM_2/3_D16_E4-1,16,0.0003682882907820673,3.0064884576702376e-06,0.8163410385070622,6.256179094241328,0.08396482455341508,1.3421103086819048,1939.0777777777778,1164.8126871749396
BlaJ-0168_D32_saline,32,0.0003170106674537329,3.2297349844613844e-06,1.0188095594394337,4.824104197929867,0.09019962495863737,1.869769417446333,1766.8999999999999,907.9276692005811
BlaJ-0172_D32_treatment,32,0.00031230104009121254,8.297972669710293e-07,0.2657042918360674,4.692574328191928,0.023174471785638504,0.49385412280870017,2564.016666666667,323.42307861032094
BlaJ-0178_D2_treatment,2,0.00029056209559559005,6.9710178115473656e-06,2.3991490690684456,4.085451870796624,0.19468569254341253,4.765340498441625,1487.1833333333334,490.5396809750574
YM_2/3_D16_E3-1,16,0.0003533736154378304,4.474389391814024e-06,1.2661922668647034,5.839643951605049,0.12496017382300327,2.1398594650390885,1858.3111111111111,1116.4790719705175
YM_2/3_D4_E3-1,4,0.0003488534476025908,1.3572405960584152e-06,0.3890575269889738,5.713405283277685,0.03790484152170226,0.6634369459601313,1648.3166666666666,714.8624980449814
BlaJ-0162_D16_treatment,16,0.0002901913375358567,5.34393586522858e-06,1.8415214977146832,4.0750973871937175,0.14924475635483572,3.662360483061042,1707.6555555555553,1333.508439578065
BlaJ-0139_D0_saline,0,0.00014472067772778373,1.5316420744348909e-06,1.0583436302833478,0.012411432989364103,0.0427755036712202,344.64597043610024,1395.538888888889,977.4614420263073
BlaJ-0179_D2_saline,2,0.00028439387702392714,8.905469467641458e-07,0.3131385795233632,3.913186652596476,0.02487108106164971,0.6355710388909576,2461.488888888889,880.3865314819479
BlaJ-0167_D4_saline,4,0.0002753887506055799,4.0372380217443055e-06,1.4660141392364134,3.6616926354254367,0.11275146635314931,3.0792171156673063,1658.8055555555554,1291.1515028941901
BlaJ-0166_D4_treatment,4,0.00027689431320217423,2.1489983932185185e-06,0.7761078110872679,3.703739794779969,0.06001695186682636,1.6204419098613227,2655.5333333333333,109.91119142289382
BlaJ-0182_D8_saline,8,0.0003031661214720957,2.2340893568524e-06,0.7369191999436627,4.437455491062501,0.06239336140013837,1.4060616839043258,1804.4333333333334,1206.3399576128338
YM_2/3_D8_E4-1,8,0.0003548276790406746,5.921997063791859e-07,0.16689783276780412,5.880252853658486,0.01653887754661263,0.2812613327728369,1643.222222222222,590.5556786087463
YF_2/3_D1_E3-1,1,0.00029484087523205696,6.558521795012299e-06,2.2244275966995284,4.20494908042738,0.18316555662904124,4.355951834984522,1771.9944444444445,1071.1372753258997
YF_2/3_D0_E3-1,0,0.00014196051573689842,2.3435432114825566e-06,1.6508415733188422,-0.06467401755092562,0.06545017463262216,-101.20010648957347,1788.2777777777776,1534.7433075575186
YM_2/3_D0_E3-1,0,0.00014371812034532646,8.031962510212878e-07,0.5588691593595607,-0.015587861173230876,0.022431562019440916,-143.9040402666837,1427.3333333333333,946.0334697215173
BlaJ-0169_D32_saline,32,0.0003153325111338792,2.218576359941456e-06,0.7035672763217004,4.7772368631791755,0.061960116409424434,1.296986483692813,1050.6611111111113,910.5220781589071
BlaJ-0173_D16_saline,16,0.00028128708498046095,1.3900739322414365e-06,0.4941833473577343,3.826420562346547,0.038821806729094674,1.0145723946582406,1341.2611111111112,720.1244715582418
YF_2/3_D2_E3-1,2,0.0003158233380833113,2.2709096206859035e-06,0.7190442715436243,4.790944615354316,0.06342167301227951,1.3237822205045287,1400.3388888888887,1133.8625762230886
YM_2/3_D1_E4-1,1,0.0003138065133879598,2.9191097957394024e-06,0.9302260058988957,4.734618993591773,0.08152452447509055,1.7218814140152066,1756.1611111111113,584.9159470322148
YM_2/3_D32_E4-1,32,0.00037262333985836664,2.7815703879893425e-06,0.7464831346975237,6.377247789580335,0.07768334151247147,1.2181327129768553,1939.0777777777778,1063.373115809275
YF_2/3_D1_E4-1,1,0.0002975599896466207,1.8428945588154862e-06,0.6193354694641875,4.280888159513826,0.0514681231875723,1.2022767535561465,1335.7722222222221,764.2042764887564
YM_2/3_D4_E4-1,4,0.0003499678479365288,1.2552176176815055e-07,0.03586665532512448,5.744528113063592,0.003505555684942028,0.06102425849340119,1519.3111111111111,1011.1298577627205
YF_2/3_D0_E4-1,0,0.0001419698147777378,1.906058631302838e-06,1.3425802057197063,-0.06441431512945041,0.05323216131349583,-82.64026591995531,915.6611111111112,653.7418472687598
YF_2/3_D8_E3-1,8,0.0003393239297469157,2.1409585583652755e-06,0.6309482976818366,5.447266129212732,0.059792416388844395,1.0976591738044184,1777.777777777778,654.8361140038809
BlaJ-0171_D32_saline,32,0.00030082365148171854,1.735593963236711e-06,0.5769473093913912,4.372035289211445,0.04847144589807073,1.1086700516274468,1680.8777777777777,762.4682219850458
YM_2/3_D2_E3-1,2,0.00032552323349293693,3.517718012137376e-06,1.0806350054929956,5.06184205192283,0.09824237806866011,1.9408424257596306,2144.288888888889,705.2387909884245
BlaJ-0176_D2_saline,2,0.00034382013158441984,2.0176668887435513e-06,0.5868379141865763,5.572835478225076,0.05634914243172168,1.011139529453122,2101.255555555556,392.8327514962928
YF_2/3_D32_E4-1,32,0.00033499346754825213,3.4944284195432944e-06,1.0431333020068398,5.326325535604819,0.097591949309789,1.8322565651952245,991.0500000000001,1577.3885967883048
BlaJ-0174_D16_treatment,16,0.0003076165825738719,2.726673922558211e-06,0.8863871705952068,4.561747398666235,0.07615020005744004,1.66932084138865,2908.4500000000003,121.89341086010799
BlaJ-0177_D2_treatment,2,0.00023018009227146507,1.3447223851904088e-06,0.5842044687359399,2.3991110161163918,0.037555234532002026,1.5653812716343283,1567.7,1132.5908941939765
YM_2/3_D32_E3-1,32,0.0003667974593128959,2.3564461975862452e-06,0.642437982531412,6.214543343926593,0.06581052757581966,1.0589760813260012,1589.261111111111,1270.623617486632
BlaJ-0183_D32_treatment,32,0.0002884276771054853,3.852783782527838e-06,1.3357885141926853,4.025842104596461,0.10760005198652112,2.6727340315624883,549.2166666666667,337.34562683462264
BlaJ-0161_D16_saline,16,0.0002865173061000978,2.6129377264223597e-06,0.9119650613738154,3.972489507851891,0.07297379013989777,1.8369788012192405,2198.1555555555556,314.2776732857839
BlaJ-0164_D4_saline,4,0.00030180299590630994,2.493213831156547e-06,0.8261063889274732,4.399386294860044,0.0696301565280012,1.582724313374175,915.8277777777777,896.1792495448748
YM_2/3_D2_E4-1,2,0.00033012696474935655,1.757381925033883e-06,0.5323351657651311,5.190414468773512,0.049079937304385146,0.9455880180601969,1659.3333333333333,770.2706636486799
BlaJ-0170_D32_treatment,32,0.00030308055297119174,7.763795717953657e-07,0.25616278054935504,4.435065744929478,0.021682629236889888,0.4888908188492855,511.5777777777778,456.99886345996936
YF_2/3_D4_E3-1,4,0.0003223205380090203,5.274959401808277e-07,0.16365570231396967,4.972397582671994,0.014731839051943064,0.2962723476352968,2262.7000000000003,459.7348840485253
YM_2/3_D8_E3-1,8,0.00036983969508020347,4.472085628748866e-06,1.2091956834917488,6.299506514764791,0.12489583462320228,1.9826288667290253,1136.4222222222222,1618.558993564383
BlaJ-0180_D8_treatment,8,0.0002762180964843812,9.156541127965846e-06,3.3149678621739413,3.6848545009000886,0.25572270778699596,6.9398318909072625,1319.5611111111111,981.7786900334025
