D/H,Average Asymptote,Standard Deviation,R-squared
0.0,0.00014315746329687332,1.681563308425048e-06,0.9995971761239865
0.5,0.00016702886544451594,8.812291753638923e-07,0.9995971761239865
1.0,0.00017895922780934487,4.4680071985923193e-07,0.9995971761239865
2.0,0.00021486131347886407,8.514007623529283e-07,0.9995971761239865
4.0,0.0002840827980183524,3.4982925368720705e-06,0.9995971761239865
6.0,0.00036010860826124567,9.130468260511857e-07,0.9995971761239865
10.0,0.0005031888965280631,3.0885974844461227e-07,0.9995971761239865
