Alignment ID,Ontology,metric,value,ci_lower,ci_upper,genotype
Cer 36:1;O2|Cer 18:1;O2/18:0(M+H-[H2O])_10.58,Cer_NS,n_value,26.8,2.3000000000000007,2.8999999999999986,APOE4
Cer 36:1;O2|Cer 18:1;O2/18:0(M-H)_10.58,Cer_NS,n_value,29.3,0.6999999999999993,0.6999999999999993,APOE2
Cer 36:1;O2|Cer 18:1;O2/18:0(M-H)_10.58,Cer_NS,n_value,30.55,2.45,1.5500000000000007,APOE3
Cer 36:1;O2|Cer 18:1;O2/18:0(M-H)_10.58,Cer_NS,n_value,26.8,2.3000000000000007,2.8999999999999986,APOE4
Cer 36:2;O2|Cer 18:2;O2/18:0(M+H-[H2O])_9.77,Cer_NS,n_value,31.85,9.55,5.549999999999997,APOE2
Cer 36:2;O2|Cer 18:2;O2/18:0(M+H-[H2O])_9.77,Cer_NS,n_value,26.2,0.0999999999999978,0.6000000000000014,APOE3
Cer 36:2;O2|Cer 18:2;O2/18:0(M+H-[H2O])_9.77,Cer_NS,n_value,23.1,1.6000000000000014,3.899999999999999,APOE4
Cer 38:1;O2|Cer 20:1;O2/18:0(M+H-[H2O])_12.23,Cer_NS,n_value,32.25,3.75,3.950000000000003,APOE2
Cer 38:1;O2|Cer 20:1;O2/18:0(M+H-[H2O])_12.23,Cer_NS,n_value,33.85,4.150000000000002,2.1499999999999986,APOE3
Cer 38:1;O2|Cer 20:1;O2/18:0(M+H-[H2O])_12.23,Cer_NS,n_value,25.6,5.200000000000003,6.699999999999996,APOE4
Cer 41:1;O2|Cer 18:1;O2/23:0(M+H)_13.14,Cer_NS,n_value,23.5,0.3999999999999986,0.8999999999999986,APOE2
Cer 41:1;O2|Cer 18:1;O2/23:0(M+H)_13.14,Cer_NS,n_value,24.5,1.3000000000000007,2.3999999999999986,APOE3
Cer 41:1;O2|Cer 18:1;O2/23:0(M+H)_13.14,Cer_NS,n_value,19.35,1.150000000000002,1.1499999999999986,APOE4
Cer 41:1;O4|Cer 26:0;O3(FA 15:0)(M-H)_12.49,Cer_EODS,n_value,26.8,3.1000000000000014,0.5999999999999979,APOE2
Cer 41:1;O4|Cer 26:0;O3(FA 15:0)(M-H)_12.49,Cer_EODS,n_value,38.0,12.2,10.799999999999995,APOE3
Cer 41:1;O4|Cer 26:0;O3(FA 15:0)(M-H)_12.49,Cer_EODS,n_value,26.9,2.3999999999999986,2.6000000000000014,APOE4
